"Afghanistan",67.21393538455946,34.39303875545461
"Albania",20.05009069884792,41.17858224355707
"Algeria",2.5350050211076085,28.406635118450655
"Angola",17.773731536276312,-12.089817154133499
"Argentina",-64.84931565766205,-36.53357415259626
"Armenia",45.147562464130964,40.09494792569831
"Australia",133.72800397836073,-24.81301090213422
"Austria",13.428973535904355,47.57469841875197
"Azerbaijan",47.56340150852122,40.28029134803447
"Bangladesh",90.60635112354159,23.591084795366086
"Belarus",27.978536642340885,53.409275130992064
"Belgium",4.482081335377457,50.64940250492394
"Belize",-88.70039783453348,17.231572134545942
"Benin",2.307998391770541,9.354823569816825
"Bermuda",-64.77025431588487,32.31110788245919
"Bhutan",90.4925329558221,27.404055646244824
"Bolivia",-64.34930620202505,-16.750851980765784
"Bosnia and Herzegovina",17.797272133069256,44.212511079818896
"Botswana",23.83508122067014,-22.166966732685438
"Brazil",-55.022026637637424,-10.993103414076993
"Brunei",114.93008385032202,4.710022283825967
"Bulgaria",25.20934106475919,42.81402364023777
"Burkina Faso",-1.7555008203008198,12.161487201321778
"Burundi",29.85870674728877,-3.359789003967909
"Cambodia",105.03697408495105,12.67824744461169
"Cameroon",13.062575162697662,6.586397514781482
"Canada",-105,60
"Central African Republic",20.524317182663562,6.373468243791887
"Chad",18.29602618634475,15.057443474891445
"Chile",-71.564207642,-37.64594819093877
"China",106.38506803992848,37.98367623731305
"Colombia",-72.5078691900873,4.002581419095424
"Costa Rica",-84.17195452860948,9.893241558627848
"Croatia",16.57746090373541,44.72956286074245
"Cuba",-79.48965014662845,21.66240051270155
"Cyprus",33.11409294126045,34.929860388161735
"Czech Republic",15.553039687448297,49.76822900054667
"Democratic Republic of the Congo",23.266062679084882,-3.93878022785124
"Denmark",9.511601326621696,56.27605950276439
"Djibouti",42.562640377444524,11.776182259952769
"Dominican Republic",-70.35996889276802,18.80381794383564
"East Timor",126.05950236088984,-8.753675889827388
"Ecuador",-78.5720153747424,-1.6836222241323462
"Egypt",30.598882271079656,26.654133094300647
"El Salvador",-88.87489468637317,13.736064468752499
"Equatorial Guinea",10.372953116215529,1.6123063000187245
"Eritrea",39.416340511159845,14.966737432453774
"Estonia",25.783103413799903,58.64588307802539
"Ethiopia",39.90713801736957,8.765231970450419
"Falkland Islands",-59.484396820751485,-51.71812215737399
"Fiji",178.00061916235347,-17.81226114300196
"Finland",25.822623692843884,65.20337623763618
"France",2.160939691865837,46.75623376184518
"French Guiana",-53.31840490885029,3.806946176401908
"French Southern and Antarctic Lands",69.53813252458703,-49.28581201328883
"Gabon",11.795597155685433,-0.6676415816215021
"Gambia",-15.36772654360773,13.478721340712951
"Georgia",43.33786908304425,42.23185432881898
"Germany",10.38367892542112,51.074689338181
"Ghana",-1.2340979318793743,7.979342537019121
"Greece",23.257102046314163,39.59248759423604
"Greenland",-40.36150082443013,76.0190077987928
"Guatemala",-90.31600805813848,15.867317099109485
"Guinea",-11.027404418879547,10.295259165139877
"Guinea Bissau",-15.110702565467971,12.029855564868088
"Guyana",-58.951888214047855,4.716990669649233
"Haiti",-72.81425299770632,18.82906906805195
"Honduras",-86.40890665549823,14.756989570932795
"Hungary",19.320311245787828,47.29135732560944
"Iceland",-19.594950805710592,65.12006763036229
"India",82.15094297110194,23.823874942242327
"Indonesia",110,-7.4
"Iran",53.87621805141311,32.80305674634339
"Iraq",43.93395864836433,32.96309589615899
"Ireland",-8.069953006161729,53.224549803474275
"Israel",34.9,30.9
"Italy",12.875132680373573,42.97294209724154
"Ivory Coast",-5.701205685203989,7.531818768696637
"Jamaica",-77.27912712294602,18.12782638737018
"Japan",135.9294939821675,35.69541137319855
"Jordan",36.947888010231694,31.34616000120698
"Kazakhstan",65.59256399364186,47.875768362021915
"Kenya",37.87288800066047,0.8612539964816168
"Kosovo",20.900772819797083,42.552173582087086
"Kuwait",47.575946313321545,29.25627834484484
"Kyrgyzstan",74.10571749797889,41.32015723727024
"Laos",103.86159017999424,18.26158383345932
"Latvia",24.53354771231337,56.78918769745894
"Lebanon",35.84598512220671,33.85450088916923
"Lesotho",28.169423987042506,-29.634416682167625
"Liberia",-9.294468152819027,6.47334004234645
"Libya",18.027536052104754,27.10648210852832
"Lithuania",23.790476789724522,55.30586446368838
"Luxembourg",5.964058102741049,49.771783913220524
"Macedonia",21.7050971190926,41.60288372209169
"Madagascar",46.97630310467802,-18.75128330492442
"Malawi",34.144837522378175,-12.983343451105187
"Malaysia",102,4
"Mali",-4.28265841510835,16.78954899141304
"Malta",14.445446061463858,35.89105242331749
"Mauritania",-10.473310496427015,20.61203273019087
"Mexico",-103.44763805316231,24.22943227030623
"Moldova",28.39228861757168,47.135067292443544
"Mongolia",103.95297370006756,47.16313230032841
"Montenegro",19.34118513379424,42.722091540834505
"Morocco",-9.38923402822644,28.849055062813353
"Mozambique",34.98587813777111,-17.552641144582044
"Myanmar",97.12110832979889,19.660765054129815
"Namibia",18.091378153991283,-21.42267436530255
"Nepal",84.21191772365488,28.184408631580066
"Netherlands",5.390489019135041,52.14357754299438
"New Caledonia",165.53581352791903,-21.25203283180785
"New Zealand",170.7166225737321,-43.780380395162524
"Nicaragua",-85.048388061684,12.928995264674548
"Niger",8.768381297267887,16.619894003462306
"Nigeria",8.142994777955197,9.606187880895602
"North Korea",127.40651130419094,40.27037296463496
"Northern Cyprus",33.65852355650835,35.31017818151448
"Norway",10,62
"Oman",55.94417519911262,20.59407134832542
"Pakistan",69.31227137754692,30.210196625058895
"Panama",-80.12371756628892,8.499874642215566
"Papua New Guinea",145.25035897008237,-7.227221532494243
"Paraguay",-58.26062540300138,-23.42521623781028
"Peru",-74.22326113883577,-8.457250401144915
"Philippines",121.76783543044367,15.311463686395447
"Poland",19.35585483230647,52.06231002496286
"Portugal",-8.017451088737253,39.621710433037464
"Puerto Rico",-66.46707878069577,18.236397137711638
"Qatar",51.179312820543345,25.321875300172106
"Republic of Serbia",20.84055916890384,44.14280198974418
"Republic of the Congo",14.810535438783965,-0.8163679949369422
"Romania",25.076482442582982,45.74183090374414
"Russia",98.64473421920499,61.16978363393353
"Rwanda",29.894076349911817,-2.0475408652305243
"Saudi Arabia",44.54307106262068,24.191009726871435
"Senegal",-14.709746755679701,14.000750937846583
"Sierra Leone",-11.72419642818298,8.505967555956822
"Slovakia",19.65394680191463,48.74179018105838
"Slovenia",15.013889665359788,46.141134021209986
"Solomon Islands",159.10194121905405,-7.9007159405950045
"Somalia",46.08207887110995,5.228636013213571
"Somaliland",45.9793382830078,9.913235038241663
"South Africa",24.762136043107105,-28.47559167567814
"South Korea",127.66785211168546,36.491255513274815
"South Sudan",30.22473419629223,7.829037229499119
"Spain",-3.7816962562378684,40.59829118577261
"Sri Lanka",80.64495741152828,7.8024598698147845
"Sudan",29.838285933721906,15.34684774917316
"Suriname",-55.88127368410999,4.077714435121083
"Swaziland",31.395531237782226,-26.483508366234346
"Sweden",16.89021194571399,62.80162481286154
"Switzerland",8.205377457091245,46.77900328211074
"Syria",38.66273331094121,35.114503096803745
"Taiwan",120.99635711299516,23.692380142486456
"Tajikistan",70.8703310310363,38.71666965267492
"Thailand",100.68867900018373,13.33571948295745
"The Bahamas",-77.90048300776246,24.473770125602417
"Togo",0.9644281159555304,8.565797976446124
"Trinidad and Tobago",-61.36574687274573,10.418939995112924
"Tunisia",9.670610277344093,34.129592871732505
"Turkey",35.72518064920276,38.854180249368824
"Turkmenistan",58.514114977238314,39.35747385336657
"Uganda",32.23834121964018,1.2747631633986078
"Ukraine",31.235258964566658,48.436144929423314
"United Arab Emirates",54.22946229293971,24.03904612998458
"United Kingdom",-3.045293208325898,53.9748112440574
"United Republic of Tanzania",34.77901636672323,-6.306507174828157
"United States of America",-93.81838373988748,39.31984469965386
"Uruguay",-56.00629828936849,-32.746243416235615
"Uzbekistan",64.4370454599671,41.52946942910224
"Vanuatu",166.91793547245604,-15.230716191224754
"Venezuela",-66.71654432431205,7.400610738665054
"Vietnam",106.2178493694898,16.437290492907696
"Palestine",35.237150690801485,31.911071430049294
"Western Sahara",-12.557061696929471,24.083297655991373
"Yemen",47.5110680467869,15.96711980724901
"Zambia",27.815036603141788,-13.102475808933239
"Zimbabwe",29.526644694312214,-18.810534892143945
"Singapore",103.8,1.2
"Hong Kong",114.2,22.2
"Macao",113.2,22
"Bahrain",50.4,26
